DFILESIZE,load,file,filename,siteid,uploaddirectory,contenttype,containerid,overwrite,majorversion,damsasp:extDocSource,damsasp:extDocId,,damsasp:extDocVersion,apm:apmNumber,apm:apmYear,apm:beginningBatesNumber,apm:endingBatesNumber,apm:startImage,apm:endImage,,remiccd:subtype,remiccd:sponsor,remiccd:dealNumber,,oipmroot:issuerName,oipmroot:issuerNumber
1930486,TRUE,dams_sample.pdf,GMD030540.pdf,oipm,Manufactured Housing/Manufactured Homes Historical Documents,mhdoc:mhDocuments,,,,,GMD030540,,,,,,,,,,,,,,Bank of Melon NY,660
1433772,TRUE,dams_sample.pdf,GMD030544.pdf,oipm,Manufactured Housing/Manufactured Homes Historical Documents,mhdoc:mhDocuments,,,,,GMD030544,,,,,,,,,,,,,,Bank of Melon NY,670
1903399,TRUE,dams_sample.pdf,GMD030548.pdf,oipm,Manufactured Housing/Manufactured Homes Historical Documents,mhdoc:mhDocuments,,,,,GMD030548,,,,,,,,,,,,,,Bank of Melon NY,680
1739134,TRUE,dams_sample.pdf,GMD030552.pdf,oipm,Manufactured Housing/Manufactured Homes Historical Documents,mhdoc:mhDocuments,,,,,GMD030552,,,,,,,,,,,,,,Bank of Melon NY,690
1171619,TRUE,dams_sample.pdf,GMD030556.pdf,oipm,Manufactured Housing/Manufactured Homes Historical Documents,mhdoc:mhDocuments,,,,,GMD030556,,,,,,,,,,,,,,Bank of Melon NY,700
1034080,TRUE,dams_sample.pdf,GMD030560.pdf,oipm,Manufactured Housing/Manufactured Homes Historical Documents,mhdoc:mhDocuments,,,,,GMD030560,,,,,,,,,,,,,,Bank of Melon NY,710
1379221,TRUE,dams_sample.pdf,GMD030564.pdf,oipm,Manufactured Housing/Manufactured Homes Historical Documents,mhdoc:mhDocuments,,,,,GMD030564,,,,,,,,,,,,,,Bank of Melon NY,720
2768440,TRUE,dams_sample.pdf,GMD030568.pdf,oipm,Manufactured Housing/Manufactured Homes Historical Documents,mhdoc:mhDocuments,,,,,GMD030568,,,,,,,,,,,,,,Bank of Melon NY,730
3175093,TRUE,dams_sample.pdf,GMD030572.pdf,oipm,Manufactured Housing/Manufactured Homes Historical Documents,mhdoc:mhDocuments,,,,,GMD030572,,,,,,,,,,,,,,Bank of Melon NY,740
2409144,TRUE,dams_sample.pdf,GMD030576.pdf,oipm,Manufactured Housing/Manufactured Homes Historical Documents,mhdoc:mhDocuments,,,,,GMD030576,,,,,,,,,,,,,,Bank of Melon NY,750
